EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.2599,0.4465,-14.6813,11.8807,2.8269,1.1291,1.6797,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802099_18.jpg
0.2678,0.4216,-10.0459,12.9412,3.1168,1.1119,1.5208,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802147_17.jpg
0.2676,0.437,-15.8998,8.4207,2.9223,1.1318,1.8695,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802194_16.jpg
0.2594,0.426,-13.4919,13.3216,3.484,1.1268,1.008,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802241_15.jpg
0.2548,0.4493,-12.1672,10.9847,3.0581,1.1242,1.6847,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802288_14.jpg
0.2551,0.4247,-7.2257,10.3742,3.0193,1.1441,1.5074,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802334_13.jpg
0.2618,0.4424,-15.6759,9.3131,2.9127,1.1508,1.49,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802382_12.jpg
0.2576,0.4437,-11.0587,11.5297,3.1103,1.1158,1.4943,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802430_11.jpg
0.264,0.4,-11.1736,9.0339,3.1651,1.1522,1.0051,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802476_10.jpg
0.2652,0.4286,-17.1631,10.3423,2.9892,1.1339,1.6847,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802522_9.jpg
0.2537,0.4422,-10.9361,11.8515,3.3698,1.1341,0.676,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802568_8.jpg
0.2615,0.4855,-12.9407,11.3883,3.2883,1.1044,1.1829,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802614_7.jpg
0.2531,0.4042,-10.1489,12.1943,3.343,1.1199,1.3284,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802662_6.jpg
0.258,0.4048,-12.5252,13.1882,3.5467,1.1102,1.8695,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802713_5.jpg
0.26,0.4455,-8.2033,14.1226,3.4161,1.1163,2.5187,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802758_4.jpg
0.2544,0.4774,-12.7592,10.5908,3.273,1.1277,2.3579,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802795_3.jpg
0.2563,0.4472,-10.3606,11.8349,3.8224,1.1043,1.8585,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802832_2.jpg
0.2567,0.4195,-14.4877,9.8608,3.4384,1.1806,0.9992,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802879_1.jpg
0.2409,0.5125,-5.9197,-26.1336,3.6613,1.0856,1.8368,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804706_20.jpg
0.264,0.4495,-2.592,-27.2032,4.3385,1.1243,2.6943,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804751_19.jpg
0.2773,0.4856,-3.9586,-33.5623,5.5504,1.1614,2.0037,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804797_18.jpg
0.2873,0.4488,-11.5203,-38.1657,5.9118,1.173,2.854,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804849_17.jpg
0.3479,0.5213,28.1862,-59.8308,8.0284,1.1775,2.1517,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804894_16.jpg
0.3718,0.5515,30.6713,-58.0548,8.3355,1.1834,1.4943,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804938_15.jpg
0.387,0.6309,41.9841,-57.7667,8.7372,1.2167,1.8209,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088804984_14.jpg
0.3821,0.618,37.1594,-60.6975,7.8695,1.2441,2.0913,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805031_13.jpg
0.388,0.6413,39.976,-60.644,8.2493,1.223,2.1272,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805079_12.jpg
0.388,0.6413,39.976,-60.644,8.2493,1.223,2.1272,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805125_11.jpg
0.388,0.5811,38.707,-60.7648,9.0767,1.2753,2.1455,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805171_10.jpg
0.3898,0.6021,35.9275,-61.8306,7.9242,1.2725,2.2906,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805218_9.jpg
0.4022,0.5598,32.9824,-62.3833,8.4174,1.2916,2.7967,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805264_8.jpg
0.3996,0.5807,31.7951,-64.733,7.8691,1.2501,1.3245,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805311_7.jpg
0.3693,0.6067,37.6304,-61.8144,8.9428,1.2545,1.8209,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805358_6.jpg
0.3747,0.6219,34.3432,-61.7046,7.8674,1.2149,2.0037,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805407_5.jpg
0.3676,0.6098,36.1357,-61.9904,8.0179,1.2488,1.7848,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805454_4.jpg
0.384,0.5451,36.2363,-62.7081,8.6079,1.2956,1.6227,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805498_3.jpg
0.384,0.5451,36.2363,-62.7081,8.6079,1.2956,1.6227,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805547_2.jpg
0.3726,0.6033,36.8414,-60.4441,8.3754,1.2437,0.4869,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088805604_1.jpg
0.2769,0.4939,-9.2099,44.3664,1.9855,1.1744,1.017,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809310_20.jpg
0.2769,0.4939,-9.2099,44.3664,1.9855,1.1744,1.017,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809357_19.jpg
0.2791,0.5498,-6.5404,43.2415,1.2716,1.1683,0.0,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809403_18.jpg
0.2746,0.5183,-7.7456,42.0742,1.6495,1.1696,0.9935,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809451_17.jpg
0.273,0.4773,-9.6422,45.7564,1.9168,1.174,0.6701,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809497_16.jpg
0.2832,0.4593,-13.1716,42.7039,1.7787,1.1735,1.8585,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809532_15.jpg
0.2853,0.4619,-13.2087,43.4151,2.306,1.2004,-0.4953,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809575_14.jpg
0.2794,0.4716,-12.397,42.7707,1.9906,1.2035,0.4968,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809624_13.jpg
0.2736,0.5083,-10.2192,41.8398,1.7984,1.19,1.503,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809673_12.jpg
0.2842,0.4581,-8.3582,41.3992,1.6664,1.1897,1.5208,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809716_11.jpg
0.2857,0.4677,-9.9245,42.4629,1.4379,1.1712,1.5074,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809763_10.jpg
0.2857,0.4677,-9.9245,42.4629,1.4379,1.1712,1.5074,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809813_9.jpg
0.2723,0.4589,-9.81,43.2407,1.9253,1.1519,1.014,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809860_8.jpg
0.2651,0.5264,-15.0381,43.1536,1.4824,1.1322,1.017,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809903_7.jpg
0.2728,0.4674,-9.7527,41.0609,1.6465,1.1756,0.68,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088809953_6.jpg
0.2852,0.4462,-5.134,41.3328,1.5313,1.164,1.5435,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088810001_5.jpg
0.2849,0.4661,-7.8291,43.994,2.0188,1.1751,0.678,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088810045_4.jpg
0.2721,0.4851,-10.7624,41.4753,1.9985,1.1531,0.8401,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088810092_3.jpg
0.2901,0.4919,-5.5998,40.2754,2.0804,1.1725,0.338,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088810138_2.jpg
0.277,0.4764,-3.8072,41.6102,1.7735,1.1694,1.1691,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088810185_1.jpg
0.284,0.4809,-3.8645,-37.9392,4.8968,1.1108,3.0216,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088811830_20.jpg
0.2829,0.4751,-8.4501,-39.8201,4.7817,1.1693,1.4987,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088811876_19.jpg
0.2899,0.5032,-6.6978,-38.2308,5.1117,1.1102,3.0574,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088811922_18.jpg
0.2743,0.4971,-9.4331,-38.7506,4.8397,1.1307,2.5336,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088811969_17.jpg
0.2708,0.4788,-6.0252,-36.897,4.8823,1.12,2.4896,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812013_16.jpg
0.2794,0.4821,-9.1741,-37.2478,5.2366,1.1037,2.8624,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812064_15.jpg
0.2784,0.5238,-5.9808,-40.0321,5.079,1.1598,2.3305,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812109_14.jpg
0.2774,0.4938,-7.7455,-37.4741,5.2731,1.1631,2.1642,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812157_13.jpg
0.2782,0.4851,-10.7273,-40.6502,5.0804,1.1393,3.0216,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812192_12.jpg
0.278,0.5403,-4.882,-39.6533,5.3206,1.1136,3.5344,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812236_11.jpg
0.296,0.4908,-6.3935,-38.1842,5.2647,1.1103,2.9525,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812283_10.jpg
0.2936,0.5017,-7.5906,-37.3446,5.1071,1.1617,3.0394,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812330_9.jpg
0.2994,0.5129,-3.2346,-41.8454,5.0563,1.1783,2.351,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812378_8.jpg
0.2845,0.4885,-3.7741,-41.8092,4.8577,1.1548,2.541,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812423_7.jpg
0.2973,0.4325,-5.3191,-44.6635,5.2919,1.1719,2.4968,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812471_6.jpg
0.2785,0.5331,-4.7595,-43.4997,5.3364,1.1302,2.7182,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812519_5.jpg
0.2966,0.4955,-3.4456,-43.138,5.1375,1.1591,2.1705,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812562_4.jpg
0.2902,0.504,-7.0892,-39.8932,4.9809,1.1376,4.0025,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812613_3.jpg
0.2836,0.5022,-9.2826,-41.6261,5.467,1.1247,3.2365,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812654_2.jpg
0.2807,0.4747,-7.7659,-40.51,5.3123,1.1708,2.3579,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088812704_1.jpg
0.2559,0.4154,-8.8671,-7.6869,2.7894,1.1082,1.4857,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088813988_20.jpg
0.2628,0.4214,-7.6792,-4.8095,2.2932,1.1283,1.49,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814029_19.jpg
0.249,0.4218,-0.3913,-2.7176,2.7964,1.117,1.8476,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814078_18.jpg
0.2527,0.4265,-4.496,-1.1193,2.6042,1.1249,1.2946,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814122_17.jpg
0.2461,0.4125,-10.9111,-1.8878,1.853,1.1274,1.3284,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814169_16.jpg
0.2356,0.4009,-10.4286,-1.2296,2.0305,1.1679,1.6413,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814217_15.jpg
0.2525,0.4269,-1.7019,5.5683,2.2884,1.1349,0.8279,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814264_14.jpg
0.2467,0.4406,-3.1666,6.9972,2.0245,1.1352,1.1624,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814310_13.jpg
0.2358,0.4501,-7.7021,9.3334,1.9696,1.078,1.5253,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814359_12.jpg
0.2457,0.4602,-7.5607,7.6827,2.0148,1.0988,1.5253,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814404_11.jpg
0.2426,0.4383,-6.3273,9.5983,1.9097,1.0963,2.3718,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814452_10.jpg
0.2347,0.4409,-2.9445,9.119,2.2172,1.0936,2.2026,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814498_9.jpg
0.2325,0.5043,-5.0043,10.4117,2.0662,1.1303,1.1624,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814547_8.jpg
0.2497,0.4732,-4.3428,9.1624,2.4334,1.1051,1.5208,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814592_7.jpg
0.2359,0.4801,-1.9359,11.1061,2.1151,1.1107,1.864,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814641_6.jpg
0.2403,0.4323,-7.1336,10.994,1.928,1.088,1.6651,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814683_5.jpg
0.2388,0.4299,-1.1645,11.3921,1.8181,1.1027,1.3559,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814730_4.jpg
0.2411,0.4388,-5.3847,9.7734,2.0031,1.0904,1.1795,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814773_3.jpg
0.223,0.4374,-1.3518,10.848,2.4793,1.0753,1.3599,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814820_2.jpg
0.2307,0.4328,-6.5503,11.6356,2.2945,1.1204,1.6946,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088814870_1.jpg
0.2439,0.3948,-2.2868,10.6048,2.7896,1.0895,2.0333,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088815870_20.jpg
0.2296,0.4925,-10.2046,10.8205,2.6884,1.1237,1.8315,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088815904_19.jpg
0.2325,0.3968,-7.437,11.1871,2.702,1.148,1.5298,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088815949_18.jpg
0.2282,0.4249,-12.1432,11.8238,3.1779,1.1364,1.9863,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088815992_17.jpg
0.2358,0.4468,-12.8249,12.4035,3.2952,1.1829,1.7748,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816040_16.jpg
0.2375,0.4257,-10.5743,9.8179,2.8621,1.1478,0.8208,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816088_15.jpg
0.2532,0.4116,-9.0646,11.6654,3.0281,1.1025,1.368,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816124_14.jpg
0.2308,0.4428,-15.1074,11.3192,3.1292,1.1304,1.8422,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816166_13.jpg
0.2352,0.461,-12.4898,11.5142,2.9896,1.1455,2.158,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816212_12.jpg
0.2504,0.4422,-9.2965,11.6845,2.7458,1.1547,1.8368,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816258_11.jpg
0.2379,0.4295,-10.2434,11.9445,3.0211,1.1361,1.9921,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816305_10.jpg
0.231,0.4994,-5.0292,8.609,2.9702,1.143,2.6553,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816351_9.jpg
0.247,0.4678,-6.4626,12.0703,2.729,1.1433,2.1705,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088816398_8.jpg
