EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.3057,0.6082,38.1288,5.7361,5.4575,0.9284,-5.6024,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374570_10.jpg
0.305,0.5919,47.5072,3.3439,6.1624,0.9317,-5.6176,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374642_9.jpg
0.305,0.5919,47.5072,3.3439,6.1624,0.9317,-5.6176,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374706_8.jpg
0.2967,0.4723,20.887,3.4673,6.098,0.9507,-5.3363,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374763_7.jpg
0.2967,0.4723,20.887,3.4673,6.098,0.9507,-5.3363,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374815_6.jpg
0.3134,0.6703,22.8072,6.0679,5.125,0.9542,-5.2929,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374870_5.jpg
0.2977,0.6496,17.7999,9.3488,8.7349,0.9608,-5.1104,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374919_4.jpg
0.2977,0.6496,17.7999,9.3488,8.7349,0.9608,-5.1104,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374978_3.jpg
0.2659,0.6334,20.2333,8.7484,10.1018,0.9484,-5.223,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217375030_2.jpg
0.2658,0.4912,22.1624,8.5483,9.3311,0.9517,-4.7768,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217375111_1.jpg
0.2871,0.6491,27.1932,1.3782,-0.1345,0.885,-4.5181,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217375973_20.jpg
0.2871,0.6491,27.1932,1.3782,-0.1345,0.885,-4.5181,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376028_19.jpg
0.2801,0.6001,32.0765,-0.7369,-0.2641,0.9158,-4.3276,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376084_18.jpg
0.2801,0.6001,32.0765,-0.7369,-0.2641,0.9158,-4.3276,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376147_17.jpg
0.2848,0.4555,23.9674,-1.2992,-1.3873,0.9661,-4.6987,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376195_16.jpg
0.284,0.4557,18.5497,-1.8475,-1.4701,0.9781,-3.4587,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376251_15.jpg
0.284,0.4557,18.5497,-1.8475,-1.4701,0.9781,-3.4587,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376306_14.jpg
0.2747,0.6265,29.0507,-0.8584,-1.2241,0.914,-4.8152,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376363_13.jpg
0.2728,0.5562,26.5412,-2.5567,-1.1971,0.9394,-4.4229,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376440_12.jpg
0.2728,0.5562,26.5412,-2.5567,-1.1971,0.9394,-4.4229,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376498_11.jpg
0.2796,0.5258,19.6298,-3.1711,-1.4277,0.955,-4.2306,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376557_10.jpg
0.2796,0.5258,19.6298,-3.1711,-1.4277,0.955,-4.2306,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376614_9.jpg
0.2883,0.5417,16.7636,-3.5462,-1.2758,0.9552,-4.1624,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376667_8.jpg
0.2871,0.6026,23.6594,-2.4796,-1.173,0.9219,-4.2422,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376721_7.jpg
0.2871,0.6026,23.6594,-2.4796,-1.173,0.9219,-4.2422,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376778_6.jpg
0.3015,0.6009,18.5258,-1.0296,0.4024,0.903,-3.145,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376835_5.jpg
0.2971,0.537,31.7618,-1.3377,1.7363,0.9136,-4.4351,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376903_4.jpg
0.2971,0.537,31.7618,-1.3377,1.7363,0.9136,-4.4351,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217376962_3.jpg
0.2912,0.5394,33.8287,-1.1085,3.2745,0.8986,-3.7723,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377015_2.jpg
0.2912,0.5394,33.8287,-1.1085,3.2745,0.8986,-3.7723,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377080_1.jpg
0.2786,0.571,29.2913,-1.075,3.6998,0.904,-3.8035,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377143_20.jpg
0.2778,0.5192,33.5446,-0.4575,2.8462,0.8981,-3.1364,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377196_19.jpg
0.2778,0.5192,33.5446,-0.4575,2.8462,0.8981,-3.1364,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377250_18.jpg
0.2686,0.6489,24.184,-0.2248,0.8083,0.8476,-3.5958,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377305_17.jpg
0.2683,0.6501,28.0495,0.345,0.3975,0.839,-2.9556,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377366_16.jpg
0.2683,0.6501,28.0495,0.345,0.3975,0.839,-2.9556,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377421_15.jpg
0.2696,0.6254,35.4579,0.4553,0.3709,0.8556,-3.3109,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377480_14.jpg
0.2696,0.6254,35.4579,0.4553,0.3709,0.8556,-3.3109,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377533_13.jpg
0.2742,0.5671,26.8807,-0.8896,0.6319,0.9133,-3.4212,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377591_12.jpg
0.275,0.5877,23.2123,-1.0823,0.3949,0.8903,-3.9398,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377640_11.jpg
0.275,0.5877,23.2123,-1.0823,0.3949,0.8903,-3.9398,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377696_10.jpg
0.2784,0.5851,24.6193,-1.735,0.6864,0.8992,-3.929,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377765_9.jpg
0.2784,0.5851,24.6193,-1.735,0.6864,0.8992,-3.929,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377825_8.jpg
0.2794,0.61,33.2277,-2.3085,0.6938,0.9195,-3.3936,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377877_7.jpg
0.2693,0.6612,34.9708,-0.9083,1.2335,0.8715,-4.2538,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377939_6.jpg
0.2693,0.6612,34.9708,-0.9083,1.2335,0.8715,-4.2538,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217377994_5.jpg
0.2692,0.6648,25.366,1.3859,0.7772,0.8603,-4.9081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378041_4.jpg
0.2738,0.6412,21.7085,3.2941,0.3589,0.8842,-5.4923,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378102_3.jpg
0.2738,0.6412,21.7085,3.2941,0.3589,0.8842,-5.4923,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378161_2.jpg
0.2687,0.5645,25.0623,4.5932,-0.0213,0.9016,-4.0968,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378220_1.jpg
0.1937,0.5863,31.268,4.8767,1.0762,0.883,-4.7636,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378752_20.jpg
0.2481,0.6233,26.2565,2.8963,1.6571,0.8845,-4.0745,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378813_19.jpg
0.263,0.5971,26.7551,0.8791,2.785,0.8853,-3.9615,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378890_18.jpg
0.263,0.5971,26.7551,0.8791,2.785,0.8853,-3.9615,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378945_17.jpg
0.263,0.5971,26.7551,0.8791,2.785,0.8853,-3.9615,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217378994_16.jpg
0.2723,0.6002,19.9764,1.7941,3.4464,0.9333,-3.4682,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379050_15.jpg
0.2693,0.6171,16.7245,1.7325,2.4826,0.9257,-4.1309,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379105_14.jpg
0.2624,0.6061,17.1478,0.8905,1.6787,0.8964,-3.7826,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379161_13.jpg
0.2773,0.5742,22.4286,2.4443,0.7344,0.9229,-4.7115,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379223_12.jpg
0.2773,0.5742,22.4286,2.4443,0.7344,0.9229,-4.7115,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379279_11.jpg
0.2825,0.563,21.8118,4.4133,-0.1075,0.9505,-4.4108,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379327_10.jpg
0.2825,0.563,21.8118,4.4133,-0.1075,0.9505,-4.4108,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379383_9.jpg
0.281,0.5474,17.5978,4.7875,-0.93,0.9799,-4.1423,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379449_8.jpg
0.2492,0.6295,12.8435,2.9349,-2.3407,0.9753,-4.7901,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379505_7.jpg
0.2757,0.6441,10.6295,2.5017,-2.6441,0.9382,-5.553,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379566_6.jpg
0.2757,0.6441,10.6295,2.5017,-2.6441,0.9382,-5.553,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379619_5.jpg
0.0534,0.6755,-0.819,2.3626,-2.238,0.9735,-6.059,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379668_4.jpg
0.0593,0.6852,-7.3551,3.3505,-2.1646,0.9579,-5.7264,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379722_3.jpg
0.1871,0.7477,-3.0994,1.6387,-2.4512,0.9393,-6.6362,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379782_2.jpg
0.1949,0.8211,13.623,1.7341,-2.1187,0.9436,-5.9007,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217379833_1.jpg
0.2401,0.6046,11.9824,1.3337,-1.698,1.0194,-4.9081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380343_20.jpg
0.2401,0.6046,11.9824,1.3337,-1.698,1.0194,-4.9081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380397_19.jpg
0.2291,0.4777,6.6301,0.9692,-1.5265,1.0261,-5.7743,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380460_18.jpg
0.2414,0.5812,15.2475,0.2701,-1.834,0.9832,-6.1269,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380518_17.jpg
0.2506,0.6312,15.7177,-0.0303,-2.088,0.9035,-5.3108,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380574_16.jpg
0.2477,0.6021,21.4158,-2.2519,-1.3948,0.9876,-4.9081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380625_15.jpg
0.2477,0.6021,21.4158,-2.2519,-1.3948,0.9876,-4.9081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380682_14.jpg
0.2365,0.5972,22.2311,-5.1483,-1.1731,0.9423,-4.9628,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380737_13.jpg
0.2365,0.5972,22.2311,-5.1483,-1.1731,0.9423,-4.9628,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380802_12.jpg
0.2502,0.7435,17.8749,-5.851,-0.0489,0.9494,-4.6833,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380859_11.jpg
0.2514,0.7697,20.1797,-7.6741,-0.0926,0.9492,-4.8304,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380911_10.jpg
0.2514,0.7697,20.1797,-7.6741,-0.0926,0.9492,-4.8304,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217380966_9.jpg
0.2502,0.5682,19.6209,-5.1917,0.8646,0.9427,-4.9217,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381022_8.jpg
0.0419,0.4693,11.1017,-2.2956,2.6112,0.9844,-4.1081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381149_7.jpg
0.0419,0.4693,11.1017,-2.2956,2.6112,0.9844,-4.1081,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381200_6.jpg
0.0983,0.6181,15.3564,2.8359,3.0265,0.91,-5.1221,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381256_5.jpg
0.1765,0.5917,20.0508,4.259,2.5136,0.938,-4.7901,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381322_4.jpg
0.1765,0.5917,20.0508,4.259,2.5136,0.938,-4.7901,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381369_3.jpg
0.2325,0.5766,26.4338,9.0751,3.6481,0.9478,-4.6055,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381428_2.jpg
0.2417,0.5681,29.6218,9.0409,4.4919,0.9123,-3.5264,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217381485_1.jpg
0.2317,0.4635,13.9773,6.8435,0.2032,0.8984,-5.2812,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383239_20.jpg
0.2471,0.6205,17.4347,6.6454,0.7493,0.9332,-4.9767,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383292_19.jpg
0.2499,0.6004,15.8546,5.8256,0.2287,0.9494,-4.7901,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383393_18.jpg
0.2499,0.6004,15.8546,5.8256,0.2287,0.9494,-4.7901,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383451_17.jpg
0.2488,0.6101,13.7141,8.5567,-0.3246,0.9181,-4.949,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383501_16.jpg
0.2415,0.6161,12.9346,13.981,-0.263,0.9503,-4.8304,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383556_15.jpg
0.2415,0.6161,12.9346,13.981,-0.263,0.9503,-4.8304,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383612_14.jpg
0.248,0.5711,19.9551,31.0176,-2.5868,0.9905,-6.6544,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383667_13.jpg
0.2494,0.4445,21.7187,32.7495,-5.5487,0.9835,-7.3626,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383729_12.jpg
0.2494,0.4445,21.7187,32.7495,-5.5487,0.9835,-7.3626,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383787_11.jpg
0.1839,0.4656,18.4853,39.1186,-5.8694,1.0106,-6.8491,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383837_10.jpg
0.1839,0.4656,18.4853,39.1186,-5.8694,1.0106,-6.8491,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383897_9.jpg
0.1856,0.557,20.2201,35.3001,-6.161,1.0007,-6.5697,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217383946_8.jpg
0.2145,0.5665,31.9159,32.9034,-5.9246,1.0326,-6.7556,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384005_7.jpg
0.2145,0.5665,31.9159,32.9034,-5.9246,1.0326,-6.7556,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384061_6.jpg
0.2286,0.6061,27.8237,37.4098,-5.5852,1.0209,-6.3228,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384112_5.jpg
0.2286,0.6061,27.8237,37.4098,-5.5852,1.0209,-6.3228,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384168_4.jpg
0.2658,0.6237,20.6706,39.43,-5.4762,1.0104,-7.3831,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384223_3.jpg
0.2516,0.3892,16.064,41.2893,-4.7373,1.0368,-6.6625,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384280_2.jpg
0.2516,0.3892,16.064,41.2893,-4.7373,1.0368,-6.6625,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217384335_1.jpg
0.2881,0.4488,31.5999,4.6241,-0.3515,0.9204,-4.4229,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385112_20.jpg
0.2717,0.5515,47.3239,-2.1342,1.2042,0.881,-5.0378,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385161_19.jpg
0.2301,0.6394,36.9417,-5.9331,2.0014,0.8581,-5.5377,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385224_18.jpg
0.2301,0.6394,36.9417,-5.9331,2.0014,0.8581,-5.5377,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385279_17.jpg
0.0431,0.6871,23.0432,-7.9829,2.6726,0.8755,-3.9506,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385341_16.jpg
0.0431,0.6871,23.0432,-7.9829,2.6726,0.8755,-3.9506,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385390_15.jpg
0.2212,0.6603,34.5968,-7.8871,2.7089,0.8934,-4.2076,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385447_14.jpg
0.255,0.6796,38.9779,-8.1134,2.4281,0.8937,-4.4229,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385494_13.jpg
0.255,0.6796,38.9779,-8.1134,2.4281,0.8937,-4.4229,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385550_12.jpg
0.2645,0.5824,36.694,-7.7995,2.0723,0.9224,-3.2572,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385606_11.jpg
0.2984,0.6119,37.4644,-4.4711,2.7595,0.8964,-5.1364,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385654_10.jpg
0.2984,0.6119,37.4644,-4.4711,2.7595,0.8964,-5.1364,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385710_9.jpg
0.3104,0.6419,42.5979,-4.3265,2.3553,0.888,-2.4401,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385772_8.jpg
0.3185,0.6687,37.5595,-3.9262,1.6794,0.8772,-4.1771,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385828_7.jpg
0.3226,0.5503,39.9619,-4.9281,1.6455,0.902,-5.1078,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385871_6.jpg
0.3187,0.5104,29.9551,-4.0745,1.2532,0.8882,-5.6784,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217385946_5.jpg
0.3187,0.5104,29.9551,-4.0745,1.2532,0.8882,-5.6784,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217386002_4.jpg
0.3224,0.568,32.4995,-3.1154,1.1752,0.9053,-4.5098,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217386069_3.jpg
0.324,0.5888,33.8677,-2.4958,0.7052,0.9349,-5.0796,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217386126_2.jpg
0.3218,0.6302,29.5501,-1.9293,0.7062,0.904,-5.3804,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217386177_1.jpg
0.2354,0.6186,30.8345,4.5558,-1.4938,0.8599,-2.6378,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387446_20.jpg
0.2299,0.6403,21.4672,4.4303,-1.478,0.8596,-2.9239,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387508_19.jpg
0.2299,0.6403,21.4672,4.4303,-1.478,0.8596,-2.9239,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387564_18.jpg
0.2362,0.6516,20.7464,2.84,-1.6546,0.8469,-2.9717,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387620_17.jpg
0.2437,0.6588,25.4645,2.692,-1.2851,0.8671,-2.7852,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387668_16.jpg
0.2459,0.5254,18.0251,2.7875,-0.8395,0.9204,-2.1906,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387749_15.jpg
0.2525,0.4759,17.8417,2.6678,-0.545,0.9385,-2.1669,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387793_14.jpg
0.2525,0.4759,17.8417,2.6678,-0.545,0.9385,-2.1669,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387850_13.jpg
0.2638,0.5518,28.2517,2.0506,-0.2431,0.9166,-2.4366,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387899_12.jpg
0.2638,0.5518,28.2517,2.0506,-0.2431,0.9166,-2.4366,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217387952_11.jpg
